                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.39396,                0.24091,                0.80689,                0.99793,                      1,                  0.995,                0.90064,                0.33114,                0.19058,                0.76665,              0.0011056,              0.0011056,              0.0011056
                     38,                0.39844,                0.23962,                0.80807,                0.99808,                      1,                  0.995,                 0.8983,                0.34352,                0.19737,                0.76733,              0.0011015,              0.0011015,              0.0011015
                     39,                0.39611,                0.23525,                0.80499,                0.99842,                      1,                  0.995,                0.90446,                0.31083,                0.18804,                0.76349,              0.0010974,              0.0010974,              0.0010974
                     40,                0.38625,                0.23084,                0.80259,                0.99897,                      1,                  0.995,                0.89209,                0.33872,                0.19267,                0.76654,              0.0010933,              0.0010933,              0.0010933
                     41,                 0.3916,                0.23363,                0.80725,                0.99852,                      1,                  0.995,                0.88339,                0.35495,                0.19972,                 0.7685,              0.0010891,              0.0010891,              0.0010891
                     42,                0.37706,                0.22493,                0.80099,                0.99844,                      1,                  0.995,                0.90539,                0.33854,                0.18745,                0.76581,               0.001085,               0.001085,               0.001085
                     43,                0.39058,                0.23273,                0.80234,                0.99867,                      1,                  0.995,                0.88633,                0.34819,                0.19872,                0.76773,              0.0010809,              0.0010809,              0.0010809
                     44,                0.38646,                 0.2308,                0.80428,                0.99847,                      1,                  0.995,                0.89798,                0.33782,                0.18367,                0.76794,              0.0010768,              0.0010768,              0.0010768
                     45,                0.38046,                0.22766,                0.80253,                0.99848,                      1,                  0.995,                0.87973,                0.34749,                0.19336,                0.76982,              0.0010726,              0.0010726,              0.0010726
                     46,                0.39285,                0.22955,                0.80656,                0.99893,                      1,                  0.995,                 0.8724,                0.37326,                0.20096,                0.77236,              0.0010685,              0.0010685,              0.0010685
                     47,                0.38633,                0.22761,                0.79721,                0.99862,                      1,                  0.995,                0.88401,                0.35239,                0.19114,                0.76801,              0.0010644,              0.0010644,              0.0010644
                     48,                 0.3748,                0.22562,                0.79922,                0.99885,                      1,                  0.995,                0.87954,                0.34575,                0.18768,                0.76837,              0.0010603,              0.0010603,              0.0010603
                     49,                0.37939,                0.22919,                0.80097,                0.99706,                      1,                  0.995,                0.90904,                0.32555,                0.18951,                0.76639,              0.0010561,              0.0010561,              0.0010561
                     50,                0.37549,                0.22906,                0.80176,                0.99837,                      1,                  0.995,                0.87541,                0.33481,                 0.1969,                0.76791,               0.001052,               0.001052,               0.001052
                     51,                0.37524,                0.22501,                0.79955,                0.99898,                      1,                  0.995,                0.86863,                0.34216,                0.18621,                0.76831,              0.0010479,              0.0010479,              0.0010479
                     52,                0.37614,                0.22766,                0.80347,                0.99839,                      1,                  0.995,                0.87878,                0.34604,                0.19295,                0.76681,              0.0010438,              0.0010438,              0.0010438
                     53,                 0.3917,                0.22999,                0.80391,                0.99852,                      1,                  0.995,                0.90151,                0.34431,                0.18959,                0.76673,              0.0010396,              0.0010396,              0.0010396
                     54,                0.37458,                0.22583,                0.79685,                0.99824,                      1,                  0.995,                0.89538,                0.34671,                0.19356,                0.76785,              0.0010355,              0.0010355,              0.0010355
