                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    147,                0.33961,                0.19542,                0.79496,                 0.9991,                      1,                  0.995,                0.90633,                0.32064,                0.15856,                0.76571,             0.00065188,             0.00065188,             0.00065188
                    148,                0.33801,                0.19795,                0.79279,                 0.9987,                      1,                  0.995,                0.90009,                0.32732,                0.16535,                0.76616,             0.00064775,             0.00064775,             0.00064775
                    149,                0.33792,                0.19497,                0.79784,                0.99914,                      1,                  0.995,                0.90262,                0.31161,                0.16177,                0.76468,             0.00064362,             0.00064362,             0.00064362
                    150,                0.33281,                0.19221,                0.79518,                0.99842,                      1,                  0.995,                0.90192,                0.32025,                0.16151,                0.76546,              0.0006395,              0.0006395,              0.0006395
                    151,                0.33606,                0.19427,                 0.7963,                0.99929,                      1,                  0.995,                0.90075,                0.31622,                0.16366,                0.76471,             0.00063538,             0.00063538,             0.00063538
                    152,                0.32806,                 0.1905,                0.79327,                0.99941,                      1,                  0.995,                0.90717,                0.31927,                0.16779,                0.76634,             0.00063125,             0.00063125,             0.00063125
                    153,                0.33602,                0.19322,                0.79236,                0.99919,                      1,                  0.995,                0.89774,                0.31658,                0.16882,                0.76356,             0.00062713,             0.00062713,             0.00062713
                    154,                0.34297,                0.19659,                0.78949,                0.99911,                      1,                  0.995,                0.89998,                 0.3229,                0.16915,                0.76483,               0.000623,               0.000623,               0.000623
                    155,                0.34018,                0.19639,                0.80246,                0.99914,                      1,                  0.995,                0.90337,                0.31344,                0.16991,                0.76341,             0.00061887,             0.00061887,             0.00061887
                    156,                0.33339,                0.18932,                0.79239,                 0.9997,                      1,                  0.995,                0.89717,                0.33136,                0.16847,                0.76623,             0.00061475,             0.00061475,             0.00061475
                    157,                 0.3338,                 0.1927,                0.79611,                0.99956,                      1,                  0.995,                 0.9081,                0.33064,                0.16444,                0.76615,             0.00061062,             0.00061062,             0.00061062
                    158,                0.33257,                0.18994,                0.79648,                0.99877,                      1,                  0.995,                 0.8943,                0.33339,                0.15919,                0.76638,              0.0006065,              0.0006065,              0.0006065
                    159,                 0.3363,                0.19438,                0.78963,                0.99913,                      1,                  0.995,                0.90305,                  0.326,                 0.1712,                0.76661,             0.00060238,             0.00060238,             0.00060238
                    160,                0.33008,                0.19013,                0.79677,                0.99899,                      1,                  0.995,                0.90372,                0.32454,                 0.1644,                0.76628,             0.00059825,             0.00059825,             0.00059825
                    161,                0.33379,                0.18765,                0.79496,                0.99901,                      1,                  0.995,                0.90799,                0.32252,                0.16468,                0.76471,             0.00059413,             0.00059413,             0.00059413
                    162,                0.33671,                0.19441,                0.79971,                0.99905,                      1,                  0.995,                0.90808,                 0.3207,                0.15846,                0.76665,                0.00059,                0.00059,                0.00059
                    163,                0.32802,                0.18951,                0.79106,                0.99877,                      1,                  0.995,                0.90944,                0.32994,                0.16914,                 0.7661,             0.00058588,             0.00058588,             0.00058588
                    164,                0.32885,                0.18793,                0.79325,                0.99896,                      1,                  0.995,                0.90132,                0.31939,                0.17152,                 0.7652,             0.00058175,             0.00058175,             0.00058175
                    165,                0.33045,                 0.1911,                0.79532,                0.99918,                      1,                  0.995,                0.89319,                0.33342,                 0.1718,                 0.7662,             0.00057763,             0.00057763,             0.00057763
                    166,                0.33941,                 0.1918,                0.79642,                0.99919,                      1,                  0.995,                 0.8992,                 0.3202,                0.16035,                0.76501,              0.0005735,              0.0005735,              0.0005735
                    167,                0.32392,                0.18776,                0.79151,                0.99941,                      1,                  0.995,                0.90545,                0.31435,                0.16553,                0.76364,             0.00056938,             0.00056938,             0.00056938
                    168,                 0.3278,                0.18933,                 0.7915,                 0.9994,                      1,                  0.995,                0.89783,                0.33889,                0.17191,                 0.7672,             0.00056525,             0.00056525,             0.00056525
                    169,                0.33224,                0.19138,                0.79429,                0.99937,                      1,                  0.995,                0.90459,                0.32862,                0.16593,                0.76609,             0.00056112,             0.00056112,             0.00056112
                    170,                0.32507,                0.18695,                 0.7965,                0.99907,                      1,                  0.995,                 0.9012,                0.32412,                0.16794,                0.76679,               0.000557,               0.000557,               0.000557
                    171,                0.33043,                0.18761,                0.79381,                0.99838,                      1,                  0.995,                0.90618,                0.31749,                0.16777,                0.76457,             0.00055287,             0.00055287,             0.00055287
                    172,                0.32747,                0.18647,                0.79068,                0.99843,                      1,                  0.995,                0.90629,                0.31973,                0.16208,                0.76697,             0.00054875,             0.00054875,             0.00054875
                    173,                0.32448,                0.18543,                0.79279,                0.99825,                      1,                  0.995,                0.89684,                0.33055,                0.16438,                0.76759,             0.00054463,             0.00054463,             0.00054463
                    174,                0.32606,                0.18403,                0.79622,                 0.9986,                      1,                  0.995,                0.89733,                0.32898,                0.16245,                 0.7675,              0.0005405,              0.0005405,              0.0005405
                    175,                0.33206,                0.18607,                0.79482,                0.99912,                      1,                  0.995,                0.90028,                0.32522,                0.16278,                0.76779,             0.00053638,             0.00053638,             0.00053638
                    176,                  0.328,                0.18464,                  0.794,                0.99824,                      1,                  0.995,                0.90524,                0.32293,                0.16009,                0.76488,             0.00053225,             0.00053225,             0.00053225
                    177,                0.32381,                 0.1864,                 0.7931,                0.99915,                      1,                  0.995,                0.90068,                0.33375,                0.16803,                0.76795,             0.00052812,             0.00052812,             0.00052812
                    178,                 0.3238,                0.18494,                0.79166,                0.99882,                      1,                  0.995,                0.91089,                0.32814,                0.17096,                0.76459,               0.000524,               0.000524,               0.000524
                    179,                0.32988,                0.18764,                0.79131,                0.99862,                      1,                  0.995,                0.91173,                0.32591,                0.16438,                0.76527,             0.00051988,             0.00051988,             0.00051988
                    180,                0.33717,                 0.1888,                0.80046,                0.99843,                      1,                  0.995,                0.90773,                0.32974,                 0.1704,                 0.7661,             0.00051575,             0.00051575,             0.00051575
                    181,                0.32246,                 0.1859,                0.79551,                0.99864,                      1,                  0.995,                 0.9057,                 0.3229,                0.16736,                0.76424,             0.00051163,             0.00051163,             0.00051163
                    182,                0.32337,                0.18662,                0.79339,                0.99868,                      1,                  0.995,                0.90789,                0.32811,                 0.1681,                0.76422,              0.0005075,              0.0005075,              0.0005075
                    183,                0.32903,                 0.1877,                0.78965,                0.99851,                      1,                  0.995,                0.90887,                0.31272,                0.16167,                0.76377,             0.00050337,             0.00050337,             0.00050337
                    184,                0.32979,                0.18849,                0.79246,                0.99859,                      1,                  0.995,                0.90343,                0.33241,                0.16672,                0.76714,             0.00049925,             0.00049925,             0.00049925
                    185,                0.32434,                0.18564,                0.79276,                0.99869,                      1,                  0.995,                0.90761,                0.32274,                0.16217,                0.76526,             0.00049513,             0.00049513,             0.00049513
                    186,                0.32459,                 0.1827,                0.79254,                0.99873,                      1,                  0.995,                0.90887,                0.33229,                0.16742,                0.76584,               0.000491,               0.000491,               0.000491
                    187,                0.32465,                 0.1851,                 0.7953,                0.99923,                      1,                  0.995,                0.91092,                0.33159,                0.16872,                0.76403,             0.00048687,             0.00048687,             0.00048687
                    188,                0.32771,                0.18651,                0.79775,                 0.9991,                      1,                  0.995,                0.90149,                0.34467,                 0.1713,                0.76776,             0.00048275,             0.00048275,             0.00048275
                    189,                0.32345,                0.18493,                0.79578,                0.99939,                      1,                  0.995,                0.90013,                0.33843,                0.16788,                 0.7666,             0.00047863,             0.00047863,             0.00047863
                    190,                0.32315,                0.18414,                0.79177,                 0.9994,                      1,                  0.995,                0.90688,                0.33209,                 0.1665,                0.76553,              0.0004745,              0.0004745,              0.0004745
                    191,                0.32375,                0.18333,                0.79336,                      1,                      1,                  0.995,                0.89926,                0.33734,                0.17141,                0.76706,             0.00047038,             0.00047038,             0.00047038
